2024-07-27 16:37:19 - root - INFO - create_connection - Successfull database connection.
2024-07-27 16:37:19 - urllib3.connectionpool - DEBUG - _new_conn - Starting new HTTP connection (1): sports.core.api.espn.com:80
2024-07-27 16:37:19 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues?limit=200 HTTP/1.1" 200 None
2024-07-27 16:37:19 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/268565?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:19 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/289234?lang=en&region=us HTTP/1.1" 200 765
2024-07-27 16:37:20 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/164205?lang=en&region=us HTTP/1.1" 200 773
2024-07-27 16:37:20 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/289273?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:20 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/180659?lang=en&region=us HTTP/1.1" 200 801
2024-07-27 16:37:20 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/244293?lang=en&region=us HTTP/1.1" 200 769
2024-07-27 16:37:20 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/271937?lang=en&region=us HTTP/1.1" 200 797
2024-07-27 16:37:20 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/272073?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:21 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/267979?lang=en&region=us HTTP/1.1" 200 831
2024-07-27 16:37:21 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559?lang=en&region=us HTTP/1.1" 200 756
2024-07-27 16:37:21 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270557?lang=en&region=us HTTP/1.1" 200 770
2024-07-27 16:37:21 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/2009?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:21 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/242041?lang=en&region=us HTTP/1.1" 200 775
2024-07-27 16:37:21 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/289271?lang=en&region=us HTTP/1.1" 200 671
2024-07-27 16:37:22 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/289272?lang=en&region=us HTTP/1.1" 200 667
2024-07-27 16:37:22 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/289277?lang=en&region=us HTTP/1.1" 200 674
2024-07-27 16:37:22 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270561?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:22 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270555?lang=en&region=us HTTP/1.1" 200 764
2024-07-27 16:37:22 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270563?lang=en&region=us HTTP/1.1" 200 803
2024-07-27 16:37:23 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/236461?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:23 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/264129?lang=en&region=us HTTP/1.1" 200 778
2024-07-27 16:37:23 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/282877?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:23 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/262827?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:23 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/256447?lang=en&region=us HTTP/1.1" 200 793
2024-07-27 16:37:23 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/268561?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:24 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/283371?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:24 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/282885?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:24 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/289221?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:24 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/282883?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:24 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/239923?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:25 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/282875?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:25 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/283745?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:25 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/289230?lang=en&region=us HTTP/1.1" 200 757
2024-07-27 16:37:25 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/281079?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:25 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/285851?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:25 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/281633?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:26 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/256449?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:26 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/161354?lang=en&region=us HTTP/1.1" 200 787
2024-07-27 16:37:26 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/288269?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:26 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/283369?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:26 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/282879?lang=en&region=us HTTP/1.1" 200 None
